Language	English
Abbot	O Abade
Chupacabra	Chupa-cabras
Claudia	Claudia
Elite_Vampire	Vampiro de Elite
Gabriel	Gabriel
Kid	Garoto
Lycan_DarkLord	Senhor dos Lycans
Silver_Warrior	Pan
Marie	Marie
Necromancer	Necromante
Pan	Pan
Pan_Off	Pan
Satan	Satã
Spirits	Espíritos
Vampire_Queen	A Rainha dos Vampiros
VampireGirl	Laura
Villager	Habitante
Villager01	Habitante
Villager02	Habitante
Villager03	Habitante
Witch	Baba Yaga
Zobek	Zobek
Zobek_Off	Zobek
Summary_Gems	Gemas Mágicas
Summary_Upgrade	Aprimoramento de Arma
Summary_UpgradeNotFound	Não Encontrado
Summary_Trial	Desafio Desbloqueado!
Summary_Trial_Complete	Desafio Concluído!
Summary_LevelComplete	Fase Concluída!
Summary_Monsters	Monstros Derrotados
Summary_Relic	Relíquia Encontrada
Upgrade_Daggers	Novo aprimoramento adquirido. Você pode carregar mais Adagas agora.
Upgrade_Vials	Novo aprimoramento adquirido. Você pode carregar mais Frascos de Água Benta agora.
Upgrade_Fairies	Novo aprimoramento adquirido. Você pode carregar mais Fadas agora.
Daggers_Limit	Você não pode carregar mais Adagas.
Vials_Limit	Você não pode carregar mais Frascos de Água Benta.
Fairies_Limit	Você não pode carregar mais Fadas.
Crystal_Limit	Seu cristal já está completo.
Extra_Locked_Main_Title	Trancado
Titan_Hold_Trigger	.
PS3_Titan_Hold_Trigger	Aperte [] para Agarrar
Titan_Avoid	ESQUIVAR
Blood_Puzzle_Hint	.
PS3_Blood_Puzzle_Hint	%s Sair
Blood_Puzzle_MoveBlood	Orientar Sangue
LifeGems_Collection	Você encontrou uma Gema da Vida. Junte cinco para aumentar a potência de sua Saúde.
LightGems_Collection	Você encontrou uma gema de Magia da Luz. Junte cinco para aumentar a potência de sua Magia da Luz.
DarkGems_Collection	Você encontrou uma gema de Magia Sombria. Junte cinco para aumentar a potência de sua Magia Sombria.
Equilibrium_Hold_Trigger	.
PS3_Equilibrium_Hold_Trigger	Aperte []
PUZZLE_SOLVED	QUEBRA-CABEÇA RESOLVIDO!
Summary_UpgradeDagger	Aprimoramento de Adaga + 5
Summary_UpgradeVial	Aprimoramento de Água Benta + 2
Summary_UpgradeFairy	Aprimoramento de Fada + 2
Summary_ExtraContentLastChapterLevel	Confira na seção Extras do Menu Principal
Summary_ExtraContentCastle	Confira na seção Extras do Menu Principal
Summary_ExtraContentLastChapterLevel_Title	Novo Artwork Destravado!
Summary_ExtraContentCastle_Title	Minigame Destravado!
Summary_ExtraContentVeryHard	Novo Modo de Dificuldade Destravado!
Summary_Chess_WhiteWins	Branco vence o jogo!
Summary_Chess_BlackWins	Preto vence o jogo!
Summary_Chess_GameFinished	Fim de Jogo
Summary_Chess_Again	Jogar de novo
Summary_Chess_Back	Voltar ao Menu Principal
PS3_ErrorInstallationCorrupted	O jogo instalado está danificado e será fechado. Você precisa deletar o jogo instalado e efetuar uma nova instalação para jogar.
PS3_ErrorUnhandled	Erro sem tratamento.
PS3_ErrorFile	Erro na leitura de disco. Verifique-o e tente novamente.
GammaHelp	Mova o analógico esquerdo para a esquerda ou direita até que apenas uma máscara esteja visível.
PS3_AutoSave_TrophiesDeactivated	Os dados salvos são de outro usuário. Você não será capaz de obter troféus.
PS3_AutoSave_Loading	Carregando...
PS3_AutoSave_LoadingError	Falha ao carregar.
PS3_AutoSave_Saving	Salvando...
PS3_AutoSave_SavingError	Falha ao salvar.
PS3_AutoSave_Warning	Este jogo salva dados automaticamente. Não desligue o aparelho enquanto o ícone de salvamento automático for exibido ou enquanto o indicador de acesso ao disco rígido estiver piscando.
PS3_Autosave_Deactivated	Você não será capaz de salvar seu progresso no jogo.
PS3_AutoSave_ErrorSize	Não há espaço livre suficiente no disco rígido.
PS3_AutoSave_Corrupt	Falha ao carregar. O jogo salvo está danificado. Os dados salvos automaticamente serão substituídos.
PS3_AutoSave_SubTitle	Salvar Jogo
PS3_AutoSave_Details	Conclusão do Jogo:
PS3_AutoSave_Details_Time	Tempo total de jogo:
PS3_AutoSave_ErrorRetry	Tentar de novo
PS3_AutoSave_ErrorContinue	Continuar
PS3_L3_Button	Botão L3
